AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
15-19|~|~|~|~|Mortality|21151384|Stomach|2016
5-9|~|~|~|~|Mortality|20429504|Stomach|2016
<1|~|~|~|~|Mortality|3955377|Stomach|2016
1-4|~|~|~|~|Incidence|15964200|Stomach|2016
10-14|~|~|~|~|Incidence|20627202|Stomach|2016
15-19|0.1|0.1|0.1|18|Incidence|21151384|Stomach|2016
5-9|~|~|~|~|Incidence|20429504|Stomach|2016
<1|~|~|~|~|Incidence|3955377|Stomach|2016
1-4|~|~|~|~|Mortality|8163342|Testis|2016
10-14|~|~|~|~|Mortality|10525144|Testis|2016
15-19|~|~|~|~|Mortality|10812867|Testis|2016
5-9|~|~|~|~|Mortality|10431307|Testis|2016
<1|~|~|~|~|Mortality|2021764|Testis|2016
1-4|0.3|0.6|0.4|36|Incidence|8163342|Testis|2016
10-14|0.1|0.3|0.2|23|Incidence|10525144|Testis|2016
15-19|3.1|3.8|3.4|371|Incidence|10812867|Testis|2016
5-9|~|~|~|~|Incidence|10431307|Testis|2016
<1|~|~|~|~|Incidence|2021764|Testis|2016
1-4|~|~|~|~|Mortality|15964200|Thyroid|2016
10-14|~|~|~|~|Mortality|20627202|Thyroid|2016
15-19|~|~|~|~|Mortality|21151384|Thyroid|2016
5-9|~|~|~|~|Mortality|20429504|Thyroid|2016
<1|~|~|~|~|Mortality|3955377|Thyroid|2016
1-4|~|~|~|~|Incidence|15964200|Thyroid|2016
10-14|0.7|1.0|0.8|172|Incidence|20627202|Thyroid|2016
15-19|3.1|3.6|3.4|714|Incidence|21151384|Thyroid|2016
5-9|0.1|0.2|0.1|30|Incidence|20429504|Thyroid|2016
<1|~|~|~|~|Incidence|3955377|Thyroid|2016
1-4|~|~|~|~|Mortality|15964200|Urinary Bladder|2016
10-14|~|~|~|~|Mortality|20627202|Urinary Bladder|2016
15-19|~|~|~|~|Mortality|21151384|Urinary Bladder|2016
5-9|~|~|~|~|Mortality|20429504|Urinary Bladder|2016
<1|~|~|~|~|Mortality|3955377|Urinary Bladder|2016
1-4|~|~|~|~|Incidence|15964200|Urinary Bladder|2016
10-14|~|~|~|~|Incidence|20627202|Urinary Bladder|2016
15-19|~|~|~|~|Incidence|21151384|Urinary Bladder|2016
5-9|~|~|~|~|Incidence|20429504|Urinary Bladder|2016
<1|~|~|~|~|Incidence|3955377|Urinary Bladder|2016
1-4|0.2|0.4|0.3|44|Mortality|15339782|Acute Lymphocytic|1999
10-14|0.3|0.5|0.4|75|Mortality|20213364|Acute Lymphocytic|1999
15-19|0.4|0.6|0.5|91|Mortality|20084602|Acute Lymphocytic|1999
5-9|0.2|0.4|0.3|65|Mortality|20606460|Acute Lymphocytic|1999
<1|~|~|~|~|Mortality|3795762|Acute Lymphocytic|1999
1-4|6.2|7.0|6.6|990|Incidence|14991152|Acute Lymphocytic|1999
10-14|1.8|2.2|2.0|391|Incidence|19742631|Acute Lymphocytic|1999
15-19|1.2|1.5|1.4|265|Incidence|19585857|Acute Lymphocytic|1999
5-9|2.7|3.2|3.0|600|Incidence|20146188|Acute Lymphocytic|1999
<1|1.7|2.7|2.1|79|Incidence|3708753|Acute Lymphocytic|1999
1-4|0.2|0.4|0.3|50|Mortality|15339782|Acute Myeloid|1999
10-14|0.2|0.3|0.3|54|Mortality|20213364|Acute Myeloid|1999
15-19|0.3|0.4|0.3|66|Mortality|20084602|Acute Myeloid|1999
5-9|0.1|0.2|0.1|29|Mortality|20606460|Acute Myeloid|1999
<1|~|~|~|~|Mortality|3795762|Acute Myeloid|1999
1-4|0.8|1.1|1.0|146|Incidence|14991152|Acute Myeloid|1999
10-14|0.5|0.7|0.6|115|Incidence|19742631|Acute Myeloid|1999
15-19|0.7|1.0|0.9|170|Incidence|19585857|Acute Myeloid|1999
5-9|0.4|0.6|0.5|93|Incidence|20146188|Acute Myeloid|1999
<1|0.9|1.6|1.2|45|Incidence|3708753|Acute Myeloid|1999
1-4|~|~|~|~|Mortality|15339782|Bones and Joints|1999
10-14|0.2|0.4|0.3|55|Mortality|20213364|Bones and Joints|1999
15-19|0.5|0.8|0.6|127|Mortality|20084602|Bones and Joints|1999
5-9|0.1|0.2|0.1|24|Mortality|20606460|Bones and Joints|1999
<1|~|~|~|~|Mortality|3795762|Bones and Joints|1999
1-4|0.1|0.3|0.2|32|Incidence|14991152|Bones and Joints|1999
10-14|1.3|1.6|1.4|282|Incidence|19742631|Bones and Joints|1999
15-19|1.2|1.6|1.4|275|Incidence|19585857|Bones and Joints|1999
5-9|0.5|0.7|0.6|117|Incidence|20146188|Bones and Joints|1999
<1|~|~|~|~|Incidence|3708753|Bones and Joints|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemia|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemia|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemia|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemia|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemia|1999
1-4|7.5|8.4|8.0|1192|Incidence|14991152|Leukemia|1999
10-14|2.6|3.1|2.8|560|Incidence|19742631|Leukemia|1999
15-19|2.4|2.9|2.7|522|Incidence|19585857|Leukemia|1999
5-9|3.4|3.9|3.6|732|Incidence|20146188|Leukemia|1999
<1|3.7|5.1|4.4|162|Incidence|3708753|Leukemia|1999
1-4|0.7|1.0|0.8|129|Mortality|15339782|Other|1999
10-14|0.3|0.4|0.3|68|Mortality|20213364|Other|1999
15-19|0.5|0.8|0.6|127|Mortality|20084602|Other|1999
5-9|0.4|0.6|0.5|108|Mortality|20606460|Other|1999
<1|0.4|0.9|0.6|23|Mortality|3795762|Other|1999
1-4|3.7|4.3|4.0|600|Incidence|14991152|Other|1999
10-14|2.1|2.6|2.3|463|Incidence|19742631|Other|1999
15-19|7.5|8.3|7.9|1539|Incidence|19585857|Other|1999
5-9|1.0|1.3|1.2|236|Incidence|20146188|Other|1999
<1|9.6|11.8|10.7|395|Incidence|3708753|Other|1999
1-4|0.1|0.2|0.1|18|Mortality|15339782|Soft Tissue|1999
10-14|0.1|0.3|0.2|37|Mortality|20213364|Soft Tissue|1999
15-19|0.2|0.4|0.3|65|Mortality|20084602|Soft Tissue|1999
5-9|0.1|0.2|0.1|28|Mortality|20606460|Soft Tissue|1999
<1|~|~|~|~|Mortality|3795762|Soft Tissue|1999
1-4|0.8|1.1|0.9|142|Incidence|14991152|Soft Tissue|1999
10-14|0.6|0.8|0.7|135|Incidence|19742631|Soft Tissue|1999
15-19|0.9|1.2|1.0|196|Incidence|19585857|Soft Tissue|1999
5-9|0.5|0.7|0.6|112|Incidence|20146188|Soft Tissue|1999
<1|2.2|3.3|2.8|102|Incidence|3708753|Soft Tissue|1999
1-4|0.2|0.4|0.3|48|Mortality|15322337|Acute Lymphocytic|2000
10-14|0.4|0.5|0.4|92|Mortality|20637696|Acute Lymphocytic|2000
15-19|0.4|0.6|0.5|98|Mortality|20294955|Acute Lymphocytic|2000
5-9|0.3|0.5|0.4|78|Mortality|20463852|Acute Lymphocytic|2000
<1|0.2|0.7|0.4|16|Mortality|3855956|Acute Lymphocytic|2000
1-4|6.8|7.7|7.2|1082|Incidence|14974472|Acute Lymphocytic|2000
10-14|1.6|1.9|1.7|349|Incidence|20164744|Acute Lymphocytic|2000
15-19|1.4|1.8|1.6|320|Incidence|19799255|Acute Lymphocytic|2000
5-9|2.9|3.4|3.1|626|Incidence|20008051|Acute Lymphocytic|2000
<1|1.9|2.9|2.4|89|Incidence|3767637|Acute Lymphocytic|2000
1-4|0.3|0.5|0.4|56|Mortality|15322337|Acute Myeloid|2000
10-14|0.2|0.3|0.2|47|Mortality|20637696|Acute Myeloid|2000
15-19|0.3|0.5|0.4|77|Mortality|20294955|Acute Myeloid|2000
5-9|0.1|0.2|0.2|33|Mortality|20463852|Acute Myeloid|2000
<1|~|~|~|~|Mortality|3855956|Acute Myeloid|2000
1-4|0.7|1.0|0.8|121|Incidence|14974472|Acute Myeloid|2000
10-14|0.4|0.6|0.5|97|Incidence|20164744|Acute Myeloid|2000
15-19|0.7|1.0|0.8|167|Incidence|19799255|Acute Myeloid|2000
5-9|0.3|0.5|0.4|79|Incidence|20008051|Acute Myeloid|2000
<1|1.0|1.8|1.4|52|Incidence|3767637|Acute Myeloid|2000
1-4|~|~|~|~|Mortality|15322337|Bones and Joints|2000
10-14|0.2|0.4|0.3|62|Mortality|20637696|Bones and Joints|2000
15-19|0.4|0.6|0.5|98|Mortality|20294955|Bones and Joints|2000
5-9|0.1|0.1|0.1|19|Mortality|20463852|Bones and Joints|2000
<1|~|~|~|~|Mortality|3855956|Bones and Joints|2000
1-4|0.1|0.2|0.2|23|Incidence|14974472|Bones and Joints|2000
10-14|1.2|1.5|1.3|270|Incidence|20164744|Bones and Joints|2000
15-19|1.2|1.6|1.4|275|Incidence|19799255|Bones and Joints|2000
5-9|0.4|0.6|0.5|104|Incidence|20008051|Bones and Joints|2000
<1|~|~|~|~|Incidence|3767637|Bones and Joints|2000
1-4|0.8|1.1|0.9|137|Mortality|15322337|Leukemia|2000
10-14|0.7|1.0|0.8|173|Mortality|20637696|Leukemia|2000
15-19|1.0|1.4|1.2|242|Mortality|20294955|Leukemia|2000
5-9|0.6|0.8|0.7|142|Mortality|20463852|Leukemia|2000
<1|0.7|1.4|1.0|38|Mortality|3855956|Leukemia|2000
1-4|8.0|8.9|8.4|1263|Incidence|14974472|Leukemia|2000
10-14|2.3|2.7|2.5|502|Incidence|20164744|Leukemia|2000
15-19|2.5|3.0|2.8|548|Incidence|19799255|Leukemia|2000
5-9|3.5|4.0|3.8|752|Incidence|20008051|Leukemia|2000
<1|4.1|5.5|4.7|178|Incidence|3767637|Leukemia|2000
1-4|0.7|1.0|0.9|135|Mortality|15322337|Other|2000
10-14|0.3|0.5|0.4|76|Mortality|20637696|Other|2000
15-19|0.6|0.8|0.7|138|Mortality|20294955|Other|2000
5-9|0.4|0.6|0.5|98|Mortality|20463852|Other|2000
<1|0.4|0.9|0.6|24|Mortality|3855956|Other|2000
1-4|3.7|4.3|4.0|595|Incidence|14974472|Other|2000
10-14|2.3|2.7|2.5|498|Incidence|20164744|Other|2000
15-19|7.6|8.3|7.9|1573|Incidence|19799255|Other|2000
5-9|1.0|1.3|1.2|236|Incidence|20008051|Other|2000
<1|9.1|11.2|10.1|381|Incidence|3767637|Other|2000
1-4|0.1|0.2|0.1|20|Mortality|15322337|Soft Tissue|2000
10-14|0.1|0.2|0.1|27|Mortality|20637696|Soft Tissue|2000
15-19|0.3|0.5|0.4|73|Mortality|20294955|Soft Tissue|2000
5-9|0.0|0.1|0.1|17|Mortality|20463852|Soft Tissue|2000
<1|~|~|~|~|Mortality|3855956|Soft Tissue|2000
1-4|0.9|1.2|1.1|158|Incidence|14974472|Soft Tissue|2000
10-14|0.7|1.0|0.9|175|Incidence|20164744|Soft Tissue|2000
15-19|1.1|1.4|1.2|245|Incidence|19799255|Soft Tissue|2000
5-9|0.5|0.7|0.6|113|Incidence|20008051|Soft Tissue|2000
<1|2.5|3.7|3.1|115|Incidence|3767637|Soft Tissue|2000
1-4|0.2|0.4|0.3|41|Mortality|15285559|Acute Lymphocytic|2001
10-14|0.3|0.5|0.4|78|Mortality|20978678|Acute Lymphocytic|2001
15-19|0.4|0.6|0.5|105|Mortality|20456284|Acute Lymphocytic|2001
5-9|0.3|0.5|0.4|84|Mortality|20173362|Acute Lymphocytic|2001
<1|~|~|~|~|Mortality|4012658|Acute Lymphocytic|2001
1-4|7.1|8.0|7.6|1146|Incidence|15123657|Acute Lymphocytic|2001
10-14|1.8|2.2|2.0|418|Incidence|20758808|Acute Lymphocytic|2001
15-19|1.3|1.7|1.5|306|Incidence|20227701|Acute Lymphocytic|2001
5-9|2.9|3.3|3.1|617|Incidence|19962452|Acute Lymphocytic|2001
<1|1.5|2.3|1.9|74|Incidence|3970113|Acute Lymphocytic|2001
1-4|0.4|0.6|0.5|73|Mortality|15285559|Acute Myeloid|2001
10-14|0.2|0.3|0.2|46|Mortality|20978678|Acute Myeloid|2001
15-19|0.3|0.4|0.3|70|Mortality|20456284|Acute Myeloid|2001
5-9|0.1|0.2|0.2|31|Mortality|20173362|Acute Myeloid|2001
<1|~|~|~|~|Mortality|4012658|Acute Myeloid|2001
1-4|0.7|1.0|0.8|126|Incidence|15123657|Acute Myeloid|2001
10-14|0.5|0.8|0.7|136|Incidence|20758808|Acute Myeloid|2001
15-19|0.7|1.0|0.9|172|Incidence|20227701|Acute Myeloid|2001
5-9|0.3|0.5|0.4|84|Incidence|19962452|Acute Myeloid|2001
<1|1.0|1.7|1.3|52|Incidence|3970113|Acute Myeloid|2001
1-4|~|~|~|~|Mortality|15285559|Bones and Joints|2001
10-14|0.3|0.4|0.3|72|Mortality|20978678|Bones and Joints|2001
15-19|0.4|0.6|0.5|101|Mortality|20456284|Bones and Joints|2001
5-9|~|~|~|~|Mortality|20173362|Bones and Joints|2001
<1|~|~|~|~|Mortality|4012658|Bones and Joints|2001
1-4|0.1|0.2|0.1|22|Incidence|15123657|Bones and Joints|2001
10-14|1.2|1.6|1.4|290|Incidence|20758808|Bones and Joints|2001
15-19|1.5|1.9|1.7|347|Incidence|20227701|Bones and Joints|2001
5-9|0.5|0.7|0.6|115|Incidence|19962452|Bones and Joints|2001
<1|~|~|~|~|Incidence|3970113|Bones and Joints|2001
1-4|0.9|1.2|1.0|155|Mortality|15285559|Leukemia|2001
10-14|0.7|0.9|0.8|170|Mortality|20978678|Leukemia|2001
15-19|1.0|1.3|1.1|225|Mortality|20456284|Leukemia|2001
5-9|0.6|0.9|0.8|153|Mortality|20173362|Leukemia|2001
<1|0.4|0.9|0.6|25|Mortality|4012658|Leukemia|2001
1-4|8.5|9.5|9.0|1358|Incidence|15123657|Leukemia|2001
10-14|2.7|3.2|3.0|617|Incidence|20758808|Leukemia|2001
15-19|2.6|3.1|2.8|575|Incidence|20227701|Leukemia|2001
5-9|3.5|4.0|3.8|751|Incidence|19962452|Leukemia|2001
<1|3.4|4.7|4.0|160|Incidence|3970113|Leukemia|2001
1-4|0.7|1.0|0.8|122|Mortality|15285559|Other|2001
10-14|0.3|0.4|0.3|70|Mortality|20978678|Other|2001
15-19|0.6|0.8|0.7|147|Mortality|20456284|Other|2001
5-9|0.3|0.5|0.4|88|Mortality|20173362|Other|2001
<1|0.2|0.7|0.4|17|Mortality|4012658|Other|2001
1-4|4.2|4.9|4.6|690|Incidence|15123657|Other|2001
10-14|2.5|2.9|2.7|556|Incidence|20758808|Other|2001
15-19|7.9|8.7|8.3|1684|Incidence|20227701|Other|2001
5-9|1.3|1.7|1.5|299|Incidence|19962452|Other|2001
<1|10.5|12.6|11.5|457|Incidence|3970113|Other|2001
1-4|0.1|0.2|0.1|18|Mortality|15285559|Soft Tissue|2001
10-14|0.1|0.2|0.2|36|Mortality|20978678|Soft Tissue|2001
15-19|0.2|0.4|0.3|61|Mortality|20456284|Soft Tissue|2001
5-9|0.1|0.2|0.1|26|Mortality|20173362|Soft Tissue|2001
<1|~|~|~|~|Mortality|4012658|Soft Tissue|2001
1-4|1.0|1.4|1.2|180|Incidence|15123657|Soft Tissue|2001
10-14|0.7|1.0|0.9|177|Incidence|20758808|Soft Tissue|2001
15-19|1.0|1.3|1.1|225|Incidence|20227701|Soft Tissue|2001
5-9|0.4|0.6|0.5|95|Incidence|19962452|Soft Tissue|2001
<1|2.8|3.9|3.3|132|Incidence|3970113|Soft Tissue|2001
1-4|0.2|0.3|0.2|34|Mortality|15477731|Acute Lymphocytic|2002
10-14|0.3|0.5|0.4|91|Mortality|21261421|Acute Lymphocytic|2002
15-19|0.4|0.6|0.5|106|Mortality|20610370|Acute Lymphocytic|2002
5-9|0.3|0.5|0.4|82|Mortality|19872417|Acute Lymphocytic|2002
<1|~|~|~|~|Mortality|3951461|Acute Lymphocytic|2002
1-4|6.8|7.6|7.2|1103|Incidence|15313864|Acute Lymphocytic|2002
10-14|1.6|2.0|1.8|382|Incidence|21040663|Acute Lymphocytic|2002
15-19|1.4|1.8|1.6|328|Incidence|20386049|Acute Lymphocytic|2002
5-9|2.9|3.4|3.1|614|Incidence|19665950|Acute Lymphocytic|2002
<1|1.5|2.4|1.9|74|Incidence|3910837|Acute Lymphocytic|2002
1-4|0.2|0.4|0.3|46|Mortality|15477731|Acute Myeloid|2002
10-14|0.2|0.3|0.2|44|Mortality|21261421|Acute Myeloid|2002
15-19|0.3|0.5|0.4|78|Mortality|20610370|Acute Myeloid|2002
5-9|0.1|0.2|0.2|34|Mortality|19872417|Acute Myeloid|2002
<1|~|~|~|~|Mortality|3951461|Acute Myeloid|2002
1-4|0.7|1.0|0.9|133|Incidence|15313864|Acute Myeloid|2002
10-14|0.6|0.8|0.7|139|Incidence|21040663|Acute Myeloid|2002
15-19|0.7|1.0|0.8|168|Incidence|20386049|Acute Myeloid|2002
5-9|0.3|0.5|0.4|84|Incidence|19665950|Acute Myeloid|2002
<1|1.0|1.7|1.3|51|Incidence|3910837|Acute Myeloid|2002
1-4|~|~|~|~|Mortality|15477731|Bones and Joints|2002
10-14|0.2|0.4|0.3|61|Mortality|21261421|Bones and Joints|2002
15-19|0.4|0.6|0.5|94|Mortality|20610370|Bones and Joints|2002
5-9|0.1|0.2|0.1|21|Mortality|19872417|Bones and Joints|2002
<1|~|~|~|~|Mortality|3951461|Bones and Joints|2002
1-4|0.1|0.2|0.2|26|Incidence|15313864|Bones and Joints|2002
10-14|1.2|1.5|1.3|278|Incidence|21040663|Bones and Joints|2002
15-19|1.4|1.8|1.6|327|Incidence|20386049|Bones and Joints|2002
5-9|0.5|0.7|0.6|122|Incidence|19665950|Bones and Joints|2002
<1|~|~|~|~|Incidence|3910837|Bones and Joints|2002
1-4|0.5|0.8|0.7|104|Mortality|15477731|Leukemia|2002
10-14|0.7|0.9|0.8|168|Mortality|21261421|Leukemia|2002
15-19|1.0|1.3|1.1|237|Mortality|20610370|Leukemia|2002
5-9|0.6|0.9|0.7|148|Mortality|19872417|Leukemia|2002
<1|0.3|0.8|0.5|21|Mortality|3951461|Leukemia|2002
1-4|8.2|9.1|8.6|1319|Incidence|15313864|Leukemia|2002
10-14|2.6|3.0|2.8|585|Incidence|21040663|Leukemia|2002
15-19|2.6|3.1|2.8|575|Incidence|20386049|Leukemia|2002
5-9|3.6|4.2|3.9|761|Incidence|19665950|Leukemia|2002
<1|3.6|5.0|4.3|167|Incidence|3910837|Leukemia|2002
1-4|0.7|1.0|0.9|136|Mortality|15477731|Other|2002
10-14|0.3|0.5|0.4|78|Mortality|21261421|Other|2002
15-19|0.6|0.8|0.7|148|Mortality|20610370|Other|2002
5-9|0.4|0.6|0.5|97|Mortality|19872417|Other|2002
<1|0.5|1.1|0.8|31|Mortality|3951461|Other|2002
1-4|3.8|4.5|4.1|632|Incidence|15313864|Other|2002
10-14|2.5|2.9|2.7|563|Incidence|21040663|Other|2002
15-19|8.3|9.2|8.7|1781|Incidence|20386049|Other|2002
5-9|1.4|1.8|1.6|309|Incidence|19665950|Other|2002
<1|9.9|12.0|10.9|427|Incidence|3910837|Other|2002
1-4|0.1|0.2|0.1|23|Mortality|15477731|Soft Tissue|2002
10-14|0.1|0.3|0.2|41|Mortality|21261421|Soft Tissue|2002
15-19|0.2|0.4|0.3|58|Mortality|20610370|Soft Tissue|2002
5-9|0.1|0.2|0.1|28|Mortality|19872417|Soft Tissue|2002
<1|~|~|~|~|Mortality|3951461|Soft Tissue|2002
1-4|1.0|1.4|1.2|184|Incidence|15313864|Soft Tissue|2002
10-14|0.7|0.9|0.8|171|Incidence|21040663|Soft Tissue|2002
15-19|0.9|1.2|1.1|221|Incidence|20386049|Soft Tissue|2002
5-9|0.5|0.8|0.6|124|Incidence|19665950|Soft Tissue|2002
<1|2.7|3.8|3.2|125|Incidence|3910837|Soft Tissue|2002
1-4|0.3|0.5|0.4|61|Mortality|15616575|Acute Lymphocytic|2003
10-14|0.3|0.5|0.4|87|Mortality|21415353|Acute Lymphocytic|2003
15-19|0.3|0.5|0.4|82|Mortality|20797166|Acute Lymphocytic|2003
5-9|0.4|0.5|0.4|87|Mortality|19620851|Acute Lymphocytic|2003
<1|~|~|~|~|Mortality|3975871|Acute Lymphocytic|2003
1-4|6.4|7.2|6.8|1064|Incidence|15616575|Acute Lymphocytic|2003
10-14|1.6|1.9|1.7|371|Incidence|21415353|Acute Lymphocytic|2003
15-19|1.3|1.6|1.4|301|Incidence|20797166|Acute Lymphocytic|2003
5-9|3.0|3.5|3.3|638|Incidence|19620851|Acute Lymphocytic|2003
<1|1.5|2.4|1.9|77|Incidence|3975871|Acute Lymphocytic|2003
1-4|0.2|0.3|0.2|38|Mortality|15616575|Acute Myeloid|2003
10-14|0.2|0.3|0.3|55|Mortality|21415353|Acute Myeloid|2003
15-19|0.2|0.4|0.3|65|Mortality|20797166|Acute Myeloid|2003
5-9|0.1|0.3|0.2|39|Mortality|19620851|Acute Myeloid|2003
<1|~|~|~|~|Mortality|3975871|Acute Myeloid|2003
1-4|0.7|1.0|0.9|134|Incidence|15616575|Acute Myeloid|2003
10-14|0.5|0.7|0.6|132|Incidence|21415353|Acute Myeloid|2003
15-19|0.7|0.9|0.8|168|Incidence|20797166|Acute Myeloid|2003
5-9|0.3|0.5|0.4|76|Incidence|19620851|Acute Myeloid|2003
<1|1.0|1.8|1.4|55|Incidence|3975871|Acute Myeloid|2003
1-4|~|~|~|~|Mortality|15616575|Bones and Joints|2003
10-14|0.2|0.4|0.3|64|Mortality|21415353|Bones and Joints|2003
15-19|0.4|0.6|0.5|104|Mortality|20797166|Bones and Joints|2003
5-9|~|~|~|~|Mortality|19620851|Bones and Joints|2003
<1|~|~|~|~|Mortality|3975871|Bones and Joints|2003
1-4|0.2|0.3|0.2|36|Incidence|15616575|Bones and Joints|2003
10-14|1.2|1.5|1.3|285|Incidence|21415353|Bones and Joints|2003
15-19|1.3|1.7|1.5|312|Incidence|20797166|Bones and Joints|2003
5-9|0.4|0.6|0.5|91|Incidence|19620851|Bones and Joints|2003
<1|~|~|~|~|Incidence|3975871|Bones and Joints|2003
1-4|0.7|1.0|0.9|133|Mortality|15616575|Leukemia|2003
10-14|0.7|1.0|0.9|186|Mortality|21415353|Leukemia|2003
15-19|0.8|1.0|0.9|183|Mortality|20797166|Leukemia|2003
5-9|0.7|0.9|0.8|156|Mortality|19620851|Leukemia|2003
<1|0.5|1.1|0.8|30|Mortality|3975871|Leukemia|2003
1-4|7.7|8.6|8.1|1267|Incidence|15616575|Leukemia|2003
10-14|2.3|2.8|2.6|548|Incidence|21415353|Leukemia|2003
15-19|2.5|3.0|2.7|567|Incidence|20797166|Leukemia|2003
5-9|3.6|4.2|3.9|759|Incidence|19620851|Leukemia|2003
<1|3.8|5.2|4.5|177|Incidence|3975871|Leukemia|2003
1-4|0.6|0.9|0.8|118|Mortality|15616575|Other|2003
10-14|0.3|0.4|0.3|69|Mortality|21415353|Other|2003
15-19|0.5|0.8|0.7|136|Mortality|20797166|Other|2003
5-9|0.4|0.6|0.5|101|Mortality|19620851|Other|2003
<1|0.4|0.9|0.6|23|Mortality|3975871|Other|2003
1-4|4.0|4.7|4.3|677|Incidence|15616575|Other|2003
10-14|2.7|3.2|3.0|632|Incidence|21415353|Other|2003
15-19|8.3|9.1|8.7|1816|Incidence|20797166|Other|2003
5-9|1.2|1.5|1.3|259|Incidence|19620851|Other|2003
<1|10.6|12.8|11.6|463|Incidence|3975871|Other|2003
1-4|~|~|~|~|Mortality|15616575|Soft Tissue|2003
10-14|0.1|0.2|0.2|36|Mortality|21415353|Soft Tissue|2003
15-19|0.3|0.4|0.3|68|Mortality|20797166|Soft Tissue|2003
5-9|0.1|0.2|0.1|26|Mortality|19620851|Soft Tissue|2003
<1|~|~|~|~|Mortality|3975871|Soft Tissue|2003
1-4|0.9|1.2|1.1|165|Incidence|15616575|Soft Tissue|2003
10-14|0.7|1.0|0.9|186|Incidence|21415353|Soft Tissue|2003
15-19|1.1|1.4|1.2|253|Incidence|20797166|Soft Tissue|2003
5-9|0.4|0.7|0.5|106|Incidence|19620851|Soft Tissue|2003
<1|2.6|3.7|3.1|125|Incidence|3975871|Soft Tissue|2003
1-4|0.2|0.4|0.3|42|Mortality|15771627|Acute Lymphocytic|2004
10-14|0.3|0.4|0.3|72|Mortality|21411680|Acute Lymphocytic|2004
15-19|0.4|0.5|0.4|93|Mortality|21102552|Acute Lymphocytic|2004
5-9|0.3|0.5|0.4|83|Mortality|19454237|Acute Lymphocytic|2004
<1|~|~|~|~|Mortality|4014258|Acute Lymphocytic|2004
1-4|7.3|8.2|7.7|1217|Incidence|15771627|Acute Lymphocytic|2004
10-14|1.7|2.1|1.9|401|Incidence|21411680|Acute Lymphocytic|2004
15-19|1.4|1.8|1.6|341|Incidence|21102552|Acute Lymphocytic|2004
5-9|3.0|3.5|3.3|637|Incidence|19454237|Acute Lymphocytic|2004
<1|1.6|2.5|2.0|79|Incidence|4014258|Acute Lymphocytic|2004
1-4|0.3|0.5|0.3|55|Mortality|15771627|Acute Myeloid|2004
10-14|0.2|0.3|0.2|50|Mortality|21411680|Acute Myeloid|2004
15-19|0.2|0.4|0.3|64|Mortality|21102552|Acute Myeloid|2004
5-9|0.1|0.3|0.2|35|Mortality|19454237|Acute Myeloid|2004
<1|~|~|~|~|Mortality|4014258|Acute Myeloid|2004
1-4|0.7|1.0|0.9|140|Incidence|15771627|Acute Myeloid|2004
10-14|0.5|0.7|0.6|135|Incidence|21411680|Acute Myeloid|2004
15-19|0.7|1.0|0.8|175|Incidence|21102552|Acute Myeloid|2004
5-9|0.4|0.6|0.4|87|Incidence|19454237|Acute Myeloid|2004
<1|1.2|2.0|1.5|61|Incidence|4014258|Acute Myeloid|2004
1-4|~|~|~|~|Mortality|15771627|Bones and Joints|2004
10-14|0.2|0.3|0.3|57|Mortality|21411680|Bones and Joints|2004
15-19|0.4|0.6|0.5|114|Mortality|21102552|Bones and Joints|2004
5-9|~|~|~|~|Mortality|19454237|Bones and Joints|2004
<1|~|~|~|~|Mortality|4014258|Bones and Joints|2004
1-4|0.1|0.3|0.2|30|Incidence|15771627|Bones and Joints|2004
10-14|1.3|1.6|1.4|309|Incidence|21411680|Bones and Joints|2004
15-19|1.4|1.7|1.5|319|Incidence|21102552|Bones and Joints|2004
5-9|0.5|0.7|0.6|109|Incidence|19454237|Bones and Joints|2004
<1|~|~|~|~|Incidence|4014258|Bones and Joints|2004
1-4|0.6|0.9|0.8|120|Mortality|15771627|Leukemia|2004
10-14|0.6|0.9|0.7|156|Mortality|21411680|Leukemia|2004
15-19|0.9|1.1|1.0|210|Mortality|21102552|Leukemia|2004
5-9|0.7|0.9|0.8|156|Mortality|19454237|Leukemia|2004
<1|0.4|0.9|0.6|23|Mortality|4014258|Leukemia|2004
1-4|8.7|9.7|9.2|1446|Incidence|15771627|Leukemia|2004
10-14|2.6|3.1|2.8|607|Incidence|21411680|Leukemia|2004
15-19|2.6|3.1|2.9|603|Incidence|21102552|Leukemia|2004
5-9|3.7|4.3|4.0|771|Incidence|19454237|Leukemia|2004
<1|3.8|5.1|4.4|178|Incidence|4014258|Leukemia|2004
1-4|0.7|1.0|0.8|130|Mortality|15771627|Other|2004
10-14|0.3|0.4|0.3|69|Mortality|21411680|Other|2004
15-19|0.6|0.8|0.7|151|Mortality|21102552|Other|2004
5-9|0.4|0.6|0.5|98|Mortality|19454237|Other|2004
<1|0.3|0.8|0.5|20|Mortality|4014258|Other|2004
1-4|4.1|4.8|4.4|701|Incidence|15771627|Other|2004
